what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1415925328631
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1415925329910
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1415925332501
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1415925338567
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1415925341179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1415925347402
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925348678
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925349302
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1415925374208
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1415925384219
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1415925393486
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1415925394368
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925396788
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925399763
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1415925422800
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1415925424100
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1415925426336
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1415925427876
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1415925430432
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1415925434179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1415925435066
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925435402
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925436385
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925436399
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1415925441731
